Resident_ID,USMLE_Step_1,USMLE_Step_2,USMLE_Step_3,Age,Gender,VSITE_Score_1,VSITE_Score_2,VSITE_Score_3,VSITE_Score_4,VSITE_Score_5,VQE_Pass
1243,Pass,205,246,31,Male,336,351.0,363.0,370.0,,
939,Pass,205,250,31,Female,335,353.0,370.0,375.0,358.0,0.0
1375,Pass,205,241,27,Male,339,349.0,364.0,376.0,395.0,1.0
1455,Pass,186,250,35,Female,350,358.0,378.0,383.0,,
1991,Pass,205,243,35,Female,332,335.0,338.0,346.0,,
11,Pass,206,235,34,Female,340,346.0,361.0,366.0,373.0,1.0
1820,Fail,212,231,33,Female,363,371.0,379.0,387.0,396.0,0.0
1438,Pass,211,253,35,Female,356,358.0,366.0,,,
191,Pass,206,241,33,Male,344,345.0,346.0,350.0,363.0,1.0
440,Pass,206,243,35,Male,348,358.0,371.0,388.0,,
1217,Pass,205,239,26,Female,349,369.0,351.0,361.0,368.0,0.0
950,Pass,206,242,26,Male,344,352.0,367.0,380.0,392.0,1.0
1156,Pass,206,235,29,Female,343,353.0,356.0,373.0,379.0,1.0
1391,Pass,206,225,27,Male,345,,,,,
1490,Pass,206,229,28,Female,336,339.0,347.0,348.0,365.0,1.0
1552,Pass,206,241,28,Female,341,352.0,355.0,359.0,,
783,Pass,212,210,31,Male,351,365.0,344.0,359.0,379.0,0.0
1802,Pass,206,231,32,Female,347,362.0,344.0,364.0,,
1013,Pass,211,235,29,Male,359,362.0,370.0,361.0,348.0,0.0
244,Pass,207,245,35,Female,353,367.0,374.0,378.0,385.0,1.0
300,Pass,207,223,32,Female,384,399.0,413.0,419.0,,
333,Pass,207,246,34,Male,398,408.0,427.0,430.0,441.0,1.0
363,Pass,207,239,32,Female,385,391.0,394.0,404.0,418.0,1.0
1285,Fail,207,259,34,Female,353,355.0,369.0,357.0,367.0,0.0
678,Pass,207,252,33,Female,387,391.0,394.0,397.0,409.0,1.0
688,Pass,207,221,27,Male,354,363.0,374.0,382.0,388.0,1.0
248,Pass,210,268,28,Male,361,362.0,,,,
745,Pass,192,259,35,Male,348,368.0,375.0,368.0,,
905,Pass,207,245,30,Male,356,364.0,,,,
1372,Pass,212,218,26,Female,361,354.0,369.0,360.0,362.0,0.0
1017,Pass,207,203,26,Male,375,392.0,,,,
1529,Pass,203,232,35,Female,345,363.0,367.0,,,
1195,Fail,207,207,27,Female,355,372.0,377.0,378.0,389.0,1.0
359,Pass,203,244,35,Male,350,366.0,351.0,369.0,372.0,0.0
1323,Pass,207,251,31,Female,379,390.0,405.0,418.0,427.0,1.0
99,Pass,207,233,26,Male,351,,,,,
83,Pass,208,260,35,Male,359,363.0,354.0,357.0,377.0,0.0
1879,Fail,207,223,35,Male,371,389.0,402.0,408.0,425.0,1.0
551,Pass,206,256,31,Female,347,360.0,355.0,375.0,,
1332,Pass,207,231,27,Male,377,352.0,,,,
253,Pass,208,238,28,Male,385,402.0,418.0,428.0,430.0,1.0
393,Fail,208,240,27,Male,393,403.0,409.0,,,
396,Pass,208,215,26,Male,376,391.0,403.0,418.0,428.0,1.0
572,Pass,208,231,32,Male,396,404.0,418.0,428.0,,
1177,Fail,208,215,29,Male,364,377.0,386.0,405.0,424.0,1.0
1594,Pass,208,241,32,Male,375,391.0,408.0,422.0,431.0,1.0
1452,Pass,211,237,28,Female,366,371.0,353.0,366.0,371.0,0.0
1750,Pass,208,220,31,Male,362,369.0,372.0,377.0,386.0,1.0
1874,Pass,208,221,33,Female,375,389.0,396.0,412.0,,
1857,Pass,209,202,35,Female,356,364.0,371.0,365.0,375.0,0.0
187,Pass,209,270,27,Male,381,394.0,396.0,402.0,412.0,1.0
474,Pass,209,243,29,Male,371,375.0,389.0,398.0,400.0,1.0
547,Pass,209,233,34,Female,395,409.0,417.0,425.0,429.0,1.0
648,Pass,209,234,29,Male,385,394.0,403.0,413.0,,
666,Pass,209,233,35,Male,375,394.0,401.0,412.0,422.0,1.0
714,Pass,209,240,34,Male,391,410.0,413.0,424.0,432.0,1.0
824,Pass,209,235,29,Male,399,405.0,418.0,419.0,438.0,1.0
973,Pass,209,220,33,Female,399,412.0,421.0,,,
1014,Pass,209,231,33,Male,369,370.0,,,,
1051,Pass,209,246,26,Male,361,364.0,371.0,389.0,397.0,1.0
1396,Pass,209,247,32,Male,400,407.0,426.0,437.0,,
1065,Pass,207,246,31,Male,365,371.0,,,,
1621,Pass,209,230,29,Male,393,406.0,420.0,426.0,,
1801,Pass,209,239,34,Female,378,381.0,389.0,408.0,415.0,1.0
1834,Pass,209,247,32,Female,374,354.0,362.0,369.0,,
1850,Pass,209,227,33,Male,380,361.0,363.0,368.0,374.0,0.0
1107,Pass,211,220,30,Male,360,361.0,379.0,368.0,,
362,Pass,210,223,28,Female,383,360.0,361.0,369.0,380.0,0.0
1938,Pass,210,211,33,Male,369,360.0,366.0,376.0,,
1711,Pass,208,236,26,Female,367,380.0,,,,
1911,Pass,209,243,35,Male,364,374.0,,,,
24,Fail,210,247,34,Male,355,368.0,382.0,392.0,405.0,1.0
55,Pass,210,220,33,Female,392,,,,,
194,Fail,210,199,32,Male,388,397.0,413.0,426.0,429.0,1.0
698,Fail,210,254,26,Female,380,,,,,
354,Pass,210,210,31,Female,399,402.0,420.0,,,
168,Pass,211,231,28,Female,365,352.0,370.0,387.0,401.0,0.0
1740,Pass,210,236,27,Female,375,,,,,
420,Pass,210,202,27,Male,359,367.0,384.0,387.0,,
479,Pass,210,214,34,Male,368,376.0,,,,
1337,Pass,210,227,27,Female,368,377.0,366.0,377.0,,
510,Fail,210,234,29,Female,375,384.0,398.0,405.0,409.0,1.0
587,Pass,210,250,26,Female,387,395.0,412.0,416.0,,
378,Pass,210,266,34,Male,372,376.0,370.0,380.0,386.0,0.0
1006,Pass,210,216,34,Female,378,397.0,403.0,423.0,432.0,1.0
1173,Pass,210,229,29,Female,393,,,,,
1336,Pass,210,228,26,Male,371,377.0,387.0,394.0,413.0,1.0
1157,Pass,211,237,31,Male,370,381.0,,,,
1364,Fail,210,221,35,Male,375,391.0,402.0,419.0,428.0,1.0
1466,Pass,210,235,26,Male,395,399.0,415.0,421.0,432.0,1.0
20,Fail,211,234,31,Female,388,365.0,377.0,,,
1712,Pass,210,219,31,Female,370,373.0,378.0,394.0,413.0,1.0
1609,Pass,210,248,26,Male,379,363.0,374.0,388.0,396.0,0.0
235,Pass,212,212,31,Female,390,396.0,376.0,378.0,380.0,0.0
155,Pass,211,250,35,Female,387,373.0,377.0,390.0,394.0,0.0
139,Pass,211,248,28,Female,361,375.0,391.0,402.0,,
774,Pass,207,235,31,Male,393,370.0,384.0,388.0,391.0,0.0
211,Pass,211,231,30,Male,377,384.0,389.0,384.0,394.0,0.0
204,Pass,211,220,26,Female,367,369.0,383.0,387.0,,
1419,Pass,211,226,32,Female,395,378.0,382.0,387.0,,
255,Fail,211,239,26,Female,355,370.0,385.0,394.0,370.0,0.0
407,Fail,211,233,33,Female,353,373.0,377.0,,,
443,Fail,211,243,30,Male,355,375.0,,,,
464,Pass,211,252,34,Male,373,378.0,387.0,405.0,408.0,1.0
509,Pass,210,245,28,Female,373,384.0,391.0,404.0,386.0,0.0
539,Pass,211,232,26,Male,390,393.0,394.0,388.0,373.0,0.0
1995,Pass,199,248,32,Male,350,365.0,385.0,397.0,403.0,0.0
788,Pass,211,225,27,Male,351,357.0,375.0,390.0,400.0,1.0
998,Pass,211,282,26,Female,376,382.0,402.0,,,
1871,Fail,209,225,32,Male,387,390.0,397.0,376.0,389.0,0.0
1071,Pass,211,217,34,Female,385,,,,,
661,Pass,212,257,31,Female,394,371.0,383.0,391.0,401.0,0.0
1586,Pass,211,224,27,Female,372,,,,,
1235,Fail,211,240,32,Female,388,404.0,409.0,413.0,424.0,1.0
1844,Pass,209,203,27,Male,381,,,,,
1915,Fail,208,231,30,Female,381,384.0,400.0,409.0,,
1584,Pass,212,241,29,Male,387,389.0,379.0,395.0,414.0,0.0
1439,Pass,211,240,30,Male,380,397.0,405.0,423.0,428.0,1.0
1862,Pass,218,253,26,Male,431,407.0,386.0,367.0,373.0,1.0
1476,Pass,211,260,29,Male,364,377.0,393.0,398.0,413.0,1.0
1534,Pass,211,238,26,Female,383,388.0,407.0,409.0,,
1560,Pass,211,247,34,Female,352,366.0,382.0,397.0,,
1908,Fail,209,192,33,Female,387,394.0,406.0,388.0,,
495,Pass,211,248,26,Female,376,380.0,399.0,,,
1666,Pass,211,213,31,Male,371,377.0,394.0,412.0,413.0,1.0
1815,Pass,211,198,27,Male,364,379.0,388.0,407.0,,
1950,Pass,211,213,33,Female,354,368.0,386.0,401.0,,
1059,Pass,212,233,32,Female,390,,,,,
105,Pass,212,234,28,Male,390,402.0,404.0,406.0,424.0,1.0
127,Fail,212,222,34,Male,368,378.0,388.0,,,
1002,Pass,217,228,32,Male,401,403.0,384.0,392.0,399.0,0.0
604,Pass,212,255,33,Male,362,371.0,384.0,387.0,406.0,1.0
140,Fail,208,235,26,Female,377,386.0,406.0,410.0,402.0,0.0
86,Pass,212,232,30,Female,390,396.0,387.0,404.0,,
668,Pass,212,260,26,Female,390,407.0,,,,
1233,Pass,214,219,29,Female,402,384.0,389.0,403.0,,
844,Pass,212,233,27,Female,394,400.0,401.0,405.0,,
1114,Pass,212,214,30,Male,394,,,,,
1187,Fail,212,229,30,Female,379,384.0,385.0,370.0,,
1767,Pass,215,244,27,Female,403,385.0,,,,
1460,Pass,212,232,29,Male,391,410.0,416.0,,,
1311,Pass,212,231,27,Female,383,,,,,
1940,Pass,218,268,30,Male,406,410.0,,,,
1575,Pass,211,220,34,Male,389,402.0,,,,
1526,Pass,212,226,27,Female,369,373.0,388.0,390.0,407.0,1.0
196,Pass,220,228,27,Male,404,383.0,396.0,414.0,428.0,1.0
1729,Pass,212,237,29,Male,367,380.0,395.0,405.0,420.0,1.0
1778,Pass,212,230,31,Male,380,388.0,398.0,,,
1784,Pass,212,266,33,Female,366,374.0,392.0,407.0,412.0,1.0
1803,Fail,212,229,31,Female,399,415.0,403.0,405.0,406.0,0.0
542,Fail,211,264,26,Female,385,405.0,407.0,423.0,424.0,0.0
1827,Fail,212,233,29,Male,361,378.0,388.0,406.0,,
1929,Pass,212,253,26,Male,351,356.0,364.0,371.0,,
1517,Pass,218,243,27,Male,407,411.0,,,,
534,Fail,216,222,26,Female,400,403.0,391.0,411.0,,
278,Pass,213,221,31,Female,419,437.0,453.0,,,
320,Pass,213,230,32,Male,417,425.0,438.0,444.0,447.0,1.0
369,Pass,213,225,32,Female,444,459.0,467.0,483.0,493.0,1.0
1629,Pass,207,223,34,Male,384,402.0,412.0,407.0,,
413,Fail,213,219,26,Female,400,,,,,
1904,Pass,216,251,34,Male,423,410.0,391.0,,,
1745,Fail,215,208,28,Female,416,426.0,404.0,389.0,404.0,0.0
612,Pass,213,205,34,Male,443,451.0,467.0,479.0,,
748,Fail,213,219,34,Male,417,421.0,428.0,443.0,448.0,1.0
759,Fail,213,225,28,Male,431,435.0,445.0,446.0,465.0,1.0
853,Pass,213,243,33,Male,406,408.0,416.0,426.0,437.0,1.0
863,Pass,213,225,32,Male,427,444.0,454.0,463.0,,
425,Pass,207,221,33,Female,398,415.0,417.0,398.0,,
1164,Fail,220,235,29,Female,400,405.0,415.0,427.0,,
1238,Pass,211,253,26,Female,392,411.0,417.0,407.0,420.0,0.0
392,Pass,216,247,26,Male,411,430.0,412.0,,,
1084,Pass,213,219,33,Male,401,408.0,414.0,417.0,412.0,0.0
1111,Pass,213,228,32,Female,447,451.0,462.0,474.0,481.0,1.0
414,Pass,216,198,26,Male,421,398.0,403.0,420.0,413.0,1.0
1183,Pass,213,232,29,Male,420,436.0,450.0,465.0,480.0,1.0
1299,Pass,213,245,33,Male,410,413.0,422.0,441.0,448.0,1.0
1361,Pass,213,234,35,Female,406,426.0,444.0,,,
1446,Pass,213,232,30,Female,405,407.0,426.0,442.0,460.0,1.0
410,Pass,213,248,31,Female,422,406.0,393.0,410.0,428.0,1.0
1646,Pass,213,209,30,Male,435,440.0,448.0,456.0,467.0,1.0
1673,Pass,213,225,26,Female,419,436.0,,,,
1681,Pass,213,221,33,Female,446,,,,,
1854,Pass,213,220,32,Female,410,411.0,427.0,429.0,440.0,1.0
1972,Fail,213,235,28,Female,440,448.0,457.0,459.0,,
1984,Pass,213,241,33,Male,421,436.0,,,,
98,Pass,214,226,27,Female,404,417.0,425.0,427.0,,
1414,Pass,218,248,29,Female,417,,,,,
275,Fail,214,205,29,Female,404,419.0,439.0,453.0,454.0,1.0
276,Pass,214,233,27,Female,441,455.0,468.0,487.0,488.0,1.0
327,Pass,214,226,26,Male,417,420.0,434.0,450.0,462.0,1.0
1008,Pass,207,242,30,Female,398,391.0,,,,
645,Pass,214,245,34,Female,418,433.0,439.0,440.0,451.0,1.0
657,Pass,214,230,31,Male,427,434.0,451.0,,,
1506,Pass,209,248,33,Female,400,418.0,,,,
784,Pass,214,220,27,Male,441,443.0,449.0,,,
846,Pass,214,243,35,Female,442,445.0,465.0,,,
1485,Pass,215,199,26,Male,418,,,,,
1155,Pass,214,222,32,Female,414,424.0,429.0,446.0,456.0,1.0
782,Fail,220,239,29,Female,440,416.0,402.0,403.0,,
1281,Pass,217,225,28,Female,427,430.0,411.0,413.0,395.0,0.0
1296,Pass,214,232,30,Female,436,439.0,451.0,457.0,,
1329,Fail,214,242,32,Male,424,437.0,443.0,455.0,466.0,1.0
1474,Pass,214,227,33,Male,425,445.0,465.0,469.0,,
532,Fail,216,249,32,Female,403,410.0,424.0,426.0,433.0,0.0
454,Pass,219,239,35,Female,409,423.0,405.0,417.0,422.0,0.0
1580,Fail,214,235,30,Male,443,459.0,,,,
1783,Fail,214,242,30,Female,423,430.0,434.0,446.0,,
1873,Pass,214,240,27,Male,439,,,,,
1980,Pass,214,242,35,Male,428,445.0,465.0,477.0,478.0,1.0
32,Pass,215,214,28,Male,404,424.0,437.0,,,
114,Pass,215,212,29,Male,421,435.0,445.0,449.0,451.0,1.0
118,Fail,215,207,32,Male,425,436.0,,,,
166,Pass,215,247,35,Male,407,409.0,411.0,,,
284,Fail,215,250,31,Female,440,456.0,468.0,473.0,481.0,1.0
302,Pass,215,215,28,Male,433,436.0,445.0,456.0,,
205,Fail,216,237,30,Female,436,438.0,413.0,394.0,397.0,1.0
398,Pass,215,221,29,Male,406,419.0,420.0,432.0,447.0,1.0
432,Fail,215,202,32,Female,404,413.0,420.0,439.0,449.0,1.0
646,Pass,218,259,35,Male,410,401.0,412.0,,,
567,Fail,215,248,32,Female,423,426.0,432.0,439.0,,
639,Fail,215,205,32,Male,407,417.0,419.0,,,
675,Fail,215,247,27,Female,428,447.0,449.0,460.0,469.0,1.0
691,Pass,215,234,34,Male,450,465.0,485.0,495.0,506.0,1.0
804,Pass,215,224,29,Male,430,433.0,435.0,439.0,,
1034,Pass,215,243,27,Female,445,448.0,,,,
1138,Fail,215,246,28,Female,400,403.0,411.0,429.0,,
946,Fail,213,251,26,Male,407,411.0,420.0,436.0,437.0,0.0
1056,Pass,217,218,32,Female,422,402.0,413.0,414.0,430.0,1.0
1304,Fail,215,243,32,Male,428,439.0,448.0,467.0,,
1799,Pass,215,243,32,Male,414,419.0,408.0,413.0,429.0,1.0
1318,Pass,215,232,28,Female,445,455.0,470.0,472.0,,
1343,Pass,215,209,32,Female,415,428.0,430.0,436.0,441.0,1.0
1360,Pass,215,231,27,Female,424,429.0,430.0,437.0,447.0,1.0
1376,Pass,215,246,26,Female,414,433.0,438.0,,,
53,Pass,220,242,29,Female,421,412.0,423.0,426.0,403.0,1.0
1597,Pass,215,241,31,Female,401,413.0,427.0,441.0,,
1617,Pass,215,232,27,Male,434,438.0,443.0,449.0,466.0,1.0
1643,Pass,215,193,27,Female,401,416.0,434.0,440.0,444.0,1.0
397,Fail,216,221,29,Female,400,413.0,428.0,416.0,,
1562,Fail,219,235,26,Female,414,415.0,421.0,422.0,417.0,0.0
1549,Pass,213,228,28,Female,401,421.0,416.0,432.0,422.0,0.0
1800,Pass,215,225,26,Female,434,444.0,455.0,472.0,478.0,1.0
1811,Pass,215,252,30,Female,425,427.0,443.0,455.0,465.0,1.0
148,Fail,218,234,32,Female,412,422.0,415.0,420.0,432.0,1.0
1839,Pass,215,217,26,Female,432,451.0,462.0,466.0,471.0,1.0
247,Pass,217,237,27,Female,412,420.0,409.0,427.0,,
102,Pass,216,223,26,Female,438,451.0,462.0,481.0,,
1544,Pass,214,232,35,Female,407,420.0,433.0,,,
842,Pass,207,236,32,Female,399,413.0,422.0,440.0,433.0,1.0
238,Pass,216,230,34,Female,436,453.0,458.0,467.0,475.0,1.0
381,Fail,216,237,29,Male,402,405.0,409.0,410.0,425.0,1.0
382,Pass,216,238,31,Female,426,435.0,450.0,461.0,474.0,1.0
520,Pass,217,222,31,Male,415,,,,,
1601,Pass,218,232,34,Male,414,428.0,417.0,423.0,426.0,0.0
1475,Fail,219,232,33,Male,424,405.0,418.0,430.0,438.0,1.0
1875,Pass,219,254,35,Female,423,429.0,,,,
451,Pass,216,228,34,Female,444,456.0,476.0,478.0,,
794,Fail,216,239,28,Male,407,414.0,426.0,433.0,435.0,1.0
1227,Pass,217,229,34,Female,424,,,,,
961,Pass,218,230,33,Male,426,433.0,412.0,422.0,427.0,0.0
651,Pass,216,231,34,Male,437,450.0,463.0,476.0,486.0,1.0
1387,Pass,218,255,29,Female,428,432.0,410.0,420.0,,
231,Fail,220,211,28,Female,406,417.0,427.0,440.0,444.0,0.0
832,Fail,216,217,28,Female,414,424.0,440.0,458.0,477.0,1.0
876,Pass,216,220,35,Male,411,431.0,451.0,,,
877,Pass,216,215,27,Female,441,443.0,457.0,473.0,476.0,1.0
955,Pass,216,240,27,Female,425,428.0,448.0,465.0,478.0,1.0
1175,Fail,215,243,30,Male,418,,,,,
986,Fail,216,260,35,Female,439,441.0,449.0,453.0,454.0,1.0
1039,Pass,216,259,32,Male,411,,,,,
1171,Pass,216,240,34,Male,416,427.0,,,,
1205,Pass,216,271,34,Female,449,456.0,470.0,472.0,485.0,1.0
1263,Pass,216,239,28,Male,439,455.0,467.0,470.0,479.0,1.0
340,Pass,220,230,33,Female,416,417.0,430.0,434.0,,
1298,Pass,216,246,28,Female,402,406.0,,,,
1302,Pass,216,230,31,Female,404,,,,,
1322,Pass,216,217,26,Male,423,438.0,458.0,471.0,476.0,1.0
1275,Pass,216,229,33,Female,418,409.0,423.0,436.0,442.0,0.0
1378,Pass,216,201,34,Male,407,422.0,433.0,434.0,438.0,1.0
1489,Fail,216,224,32,Female,401,421.0,434.0,439.0,,
1523,Pass,216,246,30,Male,412,419.0,420.0,,,
1588,Pass,216,194,33,Male,406,408.0,411.0,413.0,424.0,1.0
1626,Pass,216,234,26,Female,423,433.0,448.0,459.0,,
1703,Pass,216,236,31,Female,433,452.0,460.0,472.0,,
1221,Fail,214,262,35,Male,416,433.0,425.0,429.0,431.0,0.0
52,Pass,217,238,34,Male,418,436.0,437.0,438.0,439.0,1.0
1054,Pass,218,231,30,Male,400,420.0,439.0,429.0,,
175,Pass,217,232,35,Male,433,,,,,
161,Fail,213,235,28,Male,425,437.0,416.0,422.0,436.0,0.0
348,Fail,217,211,32,Male,404,406.0,416.0,435.0,,
1345,Pass,216,230,29,Female,406,420.0,430.0,448.0,432.0,0.0
555,Pass,217,234,34,Male,420,,,,,
565,Pass,217,247,34,Female,427,445.0,447.0,453.0,457.0,1.0
626,Pass,217,254,31,Female,401,410.0,416.0,,,
643,Pass,217,232,34,Female,415,,,,,
1866,Fail,219,226,32,Female,420,,,,,
734,Fail,217,242,31,Female,401,407.0,417.0,422.0,,
796,Pass,217,216,30,Male,429,435.0,447.0,465.0,482.0,1.0
848,Pass,217,227,30,Male,414,420.0,421.0,431.0,446.0,1.0
1835,Pass,215,238,31,Female,411,428.0,420.0,433.0,,
1314,Pass,215,238,32,Female,416,427.0,,,,
933,Fail,217,258,31,Female,444,449.0,452.0,465.0,,
978,Fail,217,237,34,Female,415,417.0,427.0,431.0,451.0,1.0
1095,Pass,217,233,34,Male,425,,,,,
1272,Pass,217,274,34,Male,421,429.0,435.0,441.0,424.0,1.0
199,Pass,220,190,28,Male,436,417.0,428.0,435.0,,
1150,Fail,217,240,29,Female,417,431.0,433.0,437.0,455.0,1.0
1859,Pass,219,230,33,Male,438,439.0,420.0,424.0,439.0,1.0
1257,Pass,217,229,28,Male,419,,,,,
1267,Pass,217,251,35,Male,418,428.0,438.0,,,
989,Pass,213,238,32,Male,414,422.0,433.0,449.0,443.0,0.0
563,Pass,216,222,30,Female,433,436.0,428.0,,,
868,Pass,217,234,26,Male,437,424.0,434.0,436.0,444.0,1.0
1032,Fail,220,254,33,Male,424,438.0,433.0,437.0,446.0,1.0
664,Pass,216,228,35,Female,430,421.0,438.0,444.0,446.0,0.0
1704,Pass,217,226,26,Male,439,,,,,
1788,Fail,217,264,27,Male,431,435.0,452.0,472.0,481.0,1.0
1805,Fail,217,253,28,Male,424,433.0,450.0,462.0,468.0,1.0
867,Pass,217,238,30,Male,436,428.0,431.0,434.0,,
1884,Pass,217,212,28,Female,448,465.0,475.0,490.0,493.0,1.0
1914,Pass,217,241,26,Female,440,459.0,462.0,469.0,,
